drug,plate,cell_line,magnitude,log1p_magnitude
Hesperidin,7,J82,3.5006373,1.504219
Hydroxyurea,7,J82,3.7784057,1.564107
Imiquimod (maleate),7,J82,2.9189641,1.3658273
Irinotecan (hydrochloride),7,J82,6.15157,1.9673319
Levobupivacaine (hydrochloride),7,J82,5.522682,1.8752856
Ligustrazine,7,J82,5.015263,1.7943001
Lucanthone,7,J82,10.273788,2.4224803
Macitentan,7,J82,2.404478,1.2250917
Mebendazole,7,J82,6.129978,1.9643081
Menadione,7,J82,3.413199,1.4845998
Mifepristone,7,J82,3.6350603,1.5336492
Monocrotaline,7,J82,3.407853,1.4833877
Mozavaptan,7,J82,3.9739523,1.6042148
Naproxen,7,J82,2.607042,1.282888
Nevirapine,7,J82,4.9871197,1.7896104
Niclosamide (olamine),7,J82,1.648813,0.9741116
Orlistat,7,J82,6.061703,1.9546863
Pemetrexed,7,J82,6.376571,1.9983089
Penfluridol,7,J82,3.3644953,1.4735025
Peretinoin,7,J82,2.9973164,1.3856232
Pexidartinib (hydrochloride),7,J82,10.632413,2.4537954
Phenytoin (sodium),7,J82,6.8147774,2.0560164
Pitavastatin (Calcium),7,J82,5.9130435,1.9334099
Posaconazole,7,J82,5.289998,1.8389608
Pravastatin (sodium),7,J82,5.6250057,1.8908513
Procainamide (hydrochloride),7,J82,6.1534853,1.9675996
Quinidine (15% dihydroquinidine),7,J82,6.115065,1.9622144
Rifaximin,7,J82,4.1005526,1.6293489
Rosiglitazone,7,J82,5.2747188,1.8365287
Roxadustat,7,J82,2.212043,1.1669072
Rucaparib (phosphate),7,J82,6.3739924,1.9979593
Rutin (trihydrate),7,J82,11.283382,2.5082474
Sacubitril/Valsartan,7,J82,5.433756,1.8615584
Sildenafil,7,J82,5.7538233,1.9101088
Silodosin,7,J82,4.6092196,1.7244116
Simotinib,7,J82,4.0618625,1.6217345
Sivelestat (sodium tetrahydrate),7,J82,3.0329702,1.3945031
Sulfatinib,7,J82,5.1174808,1.8111503
Tadalafil,7,J82,5.501204,1.8719873
Tetracycline (hydrochloride),7,J82,3.8743248,1.5839816
Thymopentin,7,J82,4.0116477,1.6117648
Tirabrutinib,7,J82,11.047345,2.4888444
Tolmetin,7,J82,4.1059294,1.6304024
Topotecan (hydrochloride),7,J82,0.9535883,0.66966784
Trametinib (DMSO_TF solvate),7,J82,12.346485,2.591253
Tranilast,7,J82,2.784213,1.330838
Verapamil,7,J82,5.812359,1.9187385
Verteporfin,7,J82,0.54843456,0.43724445
crizotinib,7,J82,6.0012054,1.9460824
(S)-Crizotinib,7,KATO III,5.7562056,1.9104614
Adagrasib,7,KATO III,2.0428538,1.1127958
Afatinib,7,KATO III,2.0102305,1.1020167
Almonertinib (mesylate),7,KATO III,5.8839536,1.9291931
Altretamine,7,KATO III,4.254505,1.6590859
Apalutamide,7,KATO III,0.7248952,0.54516625
Arbutin,7,KATO III,3.5443902,1.5138936
Belumosudil,7,KATO III,2.3857415,1.2195729
Bendamustine,7,KATO III,3.5223331,1.5090281
Benproperine (phosphate),7,KATO III,5.373916,1.8522141
Berbamine (dihydrochloride),7,KATO III,4.1421485,1.637471
Bestatin,7,KATO III,3.387329,1.4787207
Betamethasone dipropionate,7,KATO III,4.338682,1.6749789
Bisoprolol (hemifumarate),7,KATO III,3.5925403,1.5244333
Bosentan (hydrate),7,KATO III,2.5785134,1.2749474
Canagliflozin,7,KATO III,1.4368858,0.89072096
Cilostazol,7,KATO III,6.7783594,2.0513453
Clofarabine,7,KATO III,1.4586529,0.89961356
Cobimetinib,7,KATO III,2.1653016,1.1522484
Cytarabine,7,KATO III,2.3955126,1.2224548
Cytarabine (hydrochloride),7,KATO III,4.1629667,1.6415113
Daidzin,7,KATO III,1.7945887,1.0276849
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",7,KATO III,0.8915981,0.637422
Decitabine,7,KATO III,1.0935527,0.7388625
Dexmedetomidine,7,KATO III,0.72400826,0.544652
Dimethyl fumarate,7,KATO III,3.6702075,1.5412035
Dinaciclib,7,KATO III,17.795862,2.9336367
Diphenhydramine,7,KATO III,10.632997,2.4538455
Docetaxel (Trihydrate),7,KATO III,1.5770429,0.9466426
Dorzolamide (hydrochloride),7,KATO III,2.5668983,1.2716964
Doxorubicin (hydrochloride),7,KATO III,1.4027311,0.87660605
Doxycycline (monohydrate),7,KATO III,4.880249,1.771599
Entecavir (monohydrate),7,KATO III,2.4844613,1.2483134
Epirubicin (hydrochloride),7,KATO III,1.300909,0.8333043
Eplerenone,7,KATO III,3.2548523,1.44806
Erlotinib,7,KATO III,7.063739,2.0873773
Fenofibrate,7,KATO III,7.809384,2.1758175
Ferulic acid,7,KATO III,4.788119,1.7558074
Finasteride,7,KATO III,4.10618,1.6304516
Flumatinib (mesylate),7,KATO III,4.6541843,1.7323959
Fluvoxamine,7,KATO III,5.366818,1.8510998
Fumaric acid,7,KATO III,5.0639296,1.802358
Glycyrrhizic acid,7,KATO III,0.86652315,0.62407744
Harringtonine,7,KATO III,3.9964128,1.6087202
Hesperidin,7,KATO III,2.3564408,1.2108811
Hydroxyurea,7,KATO III,2.271739,1.1853217
Imiquimod (maleate),7,KATO III,0.7665359,0.5690205
Irinotecan (hydrochloride),7,KATO III,4.476008,1.7003764
Levobupivacaine (hydrochloride),7,KATO III,2.2448106,1.177057
Ligustrazine,7,KATO III,3.8098733,1.5706707
Lucanthone,7,KATO III,7.023489,2.0823734
Macitentan,7,KATO III,1.5089638,0.91986984
Mebendazole,7,KATO III,4.52271,1.7088686
Menadione,7,KATO III,1.46787,0.9033554
Mifepristone,7,KATO III,2.6450672,1.2933748
Monocrotaline,7,KATO III,2.9800901,1.3813045
Mozavaptan,7,KATO III,2.0407097,1.112091
Naproxen,7,KATO III,1.8640698,1.0522436
Nevirapine,7,KATO III,3.9618247,1.6017735
Niclosamide (olamine),7,KATO III,0.5117923,0.4132959
Orlistat,7,KATO III,3.7929986,1.5671562
Pemetrexed,7,KATO III,3.546434,1.5143431
Penfluridol,7,KATO III,0.7975585,0.58642936
Peretinoin,7,KATO III,2.160653,1.1507787
Pexidartinib (hydrochloride),7,KATO III,8.42956,2.2438495
Phenytoin (sodium),7,KATO III,4.1287704,1.634866
Pitavastatin (Calcium),7,KATO III,5.6729345,1.8980597
Posaconazole,7,KATO III,2.9808576,1.3814973
Pravastatin (sodium),7,KATO III,4.4938374,1.703627
Procainamide (hydrochloride),7,KATO III,4.9294634,1.7799337
Quinidine (15% dihydroquinidine),7,KATO III,3.3223994,1.4638107
Rifaximin,7,KATO III,2.4193277,1.229444
Rosiglitazone,7,KATO III,3.4757392,1.4986715
Roxadustat,7,KATO III,1.3213826,0.84216297
Rucaparib (phosphate),7,KATO III,5.497255,1.8713797
Rutin (trihydrate),7,KATO III,9.123363,2.3148458
Sacubitril/Valsartan,7,KATO III,2.28048,1.1879897
Sildenafil,7,KATO III,4.2019086,1.6490256
Silodosin,7,KATO III,2.807413,1.33695
Simotinib,7,KATO III,2.7136827,1.312024
Sivelestat (sodium tetrahydrate),7,KATO III,1.2441059,0.8083072
Sulfatinib,7,KATO III,3.7400115,1.5560396
Tadalafil,7,KATO III,3.9383461,1.5970305
Tetracycline (hydrochloride),7,KATO III,3.0800192,1.4061017
Thymopentin,7,KATO III,0.7118664,0.53758425
Tirabrutinib,7,KATO III,9.003743,2.3029594
Tolmetin,7,KATO III,2.297779,1.1932492
Topotecan (hydrochloride),7,KATO III,0.79201084,0.5833384
Trametinib (DMSO_TF solvate),7,KATO III,6.419856,2.0041597
Tranilast,7,KATO III,1.0721449,0.72858423
Verapamil,7,KATO III,4.0632124,1.6220012
Verteporfin,7,KATO III,4.751589,1.7494762
crizotinib,7,KATO III,2.8554475,1.3494871
(S)-Crizotinib,7,LOX-IMVI,12.435651,2.5979116
Adagrasib,7,LOX-IMVI,3.8376765,1.5764346
Afatinib,7,LOX-IMVI,3.435076,1.4895447
Almonertinib (mesylate),7,LOX-IMVI,9.166649,2.3191125
Altretamine,7,LOX-IMVI,8.619184,2.2637594
Apalutamide,7,LOX-IMVI,4.137481,1.636563
Arbutin,7,LOX-IMVI,4.6854143,1.7379041
Belumosudil,7,LOX-IMVI,6.754008,2.04821
Bendamustine,7,LOX-IMVI,8.287773,2.2286987
Benproperine (phosphate),7,LOX-IMVI,13.535025,2.676561
Berbamine (dihydrochloride),7,LOX-IMVI,7.533747,2.1440287
Bestatin,7,LOX-IMVI,6.6036625,2.02863
Betamethasone dipropionate,7,LOX-IMVI,1.6032103,0.9567454
Bisoprolol (hemifumarate),7,LOX-IMVI,4.2565765,1.65948
Bosentan (hydrate),7,LOX-IMVI,5.995438,1.9452583
Canagliflozin,7,LOX-IMVI,3.0345325,1.3948904
Cilostazol,7,LOX-IMVI,9.630801,2.3637555
Clofarabine,7,LOX-IMVI,6.935071,2.0712924
Cobimetinib,7,LOX-IMVI,3.828876,1.5746137
Cytarabine,7,LOX-IMVI,8.302358,2.230268
Cytarabine (hydrochloride),7,LOX-IMVI,9.372818,2.3391888
Daidzin,7,LOX-IMVI,5.7069483,1.903144
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",7,LOX-IMVI,2.7364187,1.3181276
Decitabine,7,LOX-IMVI,1.261156,0.8158762
Dexmedetomidine,7,LOX-IMVI,2.6731756,1.3010566
Dimethyl fumarate,7,LOX-IMVI,6.105975,1.960936
Dinaciclib,7,LOX-IMVI,27.631908,3.3545218
Diphenhydramine,7,LOX-IMVI,18.16524,2.9530983
Docetaxel (Trihydrate),7,LOX-IMVI,4.1678667,1.64246
Dorzolamide (hydrochloride),7,LOX-IMVI,0.739714,0.5537207
Doxorubicin (hydrochloride),7,LOX-IMVI,3.04789,1.3981957
Doxycycline (monohydrate),7,LOX-IMVI,9.639632,2.3645859
Entecavir (monohydrate),7,LOX-IMVI,5.833461,1.9218313
Epirubicin (hydrochloride),7,LOX-IMVI,9.022877,2.3048701
Eplerenone,7,LOX-IMVI,5.9989405,1.9457588
Erlotinib,7,LOX-IMVI,15.426611,2.7989028
Fenofibrate,7,LOX-IMVI,14.267937,2.725755
Ferulic acid,7,LOX-IMVI,8.147057,2.213432
Finasteride,7,LOX-IMVI,9.364327,2.3383698
Flumatinib (mesylate),7,LOX-IMVI,6.9780188,2.0766902
Fluvoxamine,7,LOX-IMVI,11.752831,2.5457532
Fumaric acid,7,LOX-IMVI,6.2066374,1.9750024
Glycyrrhizic acid,7,LOX-IMVI,1.6552014,0.97652054
Harringtonine,7,LOX-IMVI,4.120736,1.6332982
Hesperidin,7,LOX-IMVI,4.522374,1.7088078
Hydroxyurea,7,LOX-IMVI,7.0394025,2.0843549
Imiquimod (maleate),7,LOX-IMVI,5.2348757,1.8301586
Irinotecan (hydrochloride),7,LOX-IMVI,8.04529,2.2022443
Levobupivacaine (hydrochloride),7,LOX-IMVI,7.220918,2.1066818
Ligustrazine,7,LOX-IMVI,6.9325995,2.0709808
Lucanthone,7,LOX-IMVI,13.939276,2.7039938
Macitentan,7,LOX-IMVI,5.0199933,1.7950861
Mebendazole,7,LOX-IMVI,6.841282,2.0594022
Menadione,7,LOX-IMVI,4.8947105,1.7740555
Mifepristone,7,LOX-IMVI,4.3856397,1.6837361
Monocrotaline,7,LOX-IMVI,5.080208,1.8050389
Mozavaptan,7,LOX-IMVI,4.870211,1.7698905
Naproxen,7,LOX-IMVI,2.5428054,1.2649189
Nevirapine,7,LOX-IMVI,6.308955,1.9891003
Niclosamide (olamine),7,LOX-IMVI,2.1623178,1.1513052
Orlistat,7,LOX-IMVI,8.104295,2.2087462
Pemetrexed,7,LOX-IMVI,8.371642,2.2376883
Penfluridol,7,LOX-IMVI,5.05653,1.801137
Peretinoin,7,LOX-IMVI,4.5904894,1.7210668
Pexidartinib (hydrochloride),7,LOX-IMVI,13.923155,2.702914
Phenytoin (sodium),7,LOX-IMVI,9.163893,2.3188415
Pitavastatin (Calcium),7,LOX-IMVI,8.91623,2.2941728
Posaconazole,7,LOX-IMVI,6.5205536,2.0176396
Pravastatin (sodium),7,LOX-IMVI,7.0222816,2.082223
Procainamide (hydrochloride),7,LOX-IMVI,9.964401,2.3946538
Quinidine (15% dihydroquinidine),7,LOX-IMVI,9.178506,2.3202782
Rifaximin,7,LOX-IMVI,4.931193,1.7802253
Rosiglitazone,7,LOX-IMVI,7.0548744,2.0862775
Roxadustat,7,LOX-IMVI,2.605251,1.2823914
Rucaparib (phosphate),7,LOX-IMVI,8.022556,2.1997278
Rutin (trihydrate),7,LOX-IMVI,14.509907,2.741479
Sacubitril/Valsartan,7,LOX-IMVI,6.9726787,2.0760205
Sildenafil,7,LOX-IMVI,8.918928,2.2944448
Silodosin,7,LOX-IMVI,5.828453,1.9210981
Simotinib,7,LOX-IMVI,5.0992646,1.8081682
Sivelestat (sodium tetrahydrate),7,LOX-IMVI,4.223907,1.6532456
Sulfatinib,7,LOX-IMVI,8.131198,2.2116969
Tadalafil,7,LOX-IMVI,9.188552,2.3212647
Tetracycline (hydrochloride),7,LOX-IMVI,5.615089,1.8893533
Thymopentin,7,LOX-IMVI,5.280302,1.8374181
Tirabrutinib,7,LOX-IMVI,15.733232,2.8173966
Tolmetin,7,LOX-IMVI,4.938574,1.781469
Topotecan (hydrochloride),7,LOX-IMVI,4.2406893,1.656453
Trametinib (DMSO_TF solvate),7,LOX-IMVI,14.369799,2.7324045
Tranilast,7,LOX-IMVI,4.5203733,1.7084455
Verapamil,7,LOX-IMVI,7.8643107,2.1820333
Verteporfin,7,LOX-IMVI,2.141925,1.1448357
crizotinib,7,LOX-IMVI,8.2032995,2.219562
(S)-Crizotinib,7,LS 180,9.175967,2.3200288
Adagrasib,7,LS 180,2.5534132,1.2679086
Afatinib,7,LS 180,2.5356815,1.2629061
Almonertinib (mesylate),7,LS 180,7.966171,2.1934588
Altretamine,7,LS 180,6.076647,1.9568002
Apalutamide,7,LS 180,3.1445944,1.4218049
Arbutin,7,LS 180,3.749465,1.558032
Belumosudil,7,LS 180,4.176457,1.6441208
Bendamustine,7,LS 180,6.059465,1.9543693
Benproperine (phosphate),7,LS 180,7.832553,2.1784441
Berbamine (dihydrochloride),7,LS 180,4.9265995,1.7794507
Bestatin,7,LS 180,4.131521,1.6354022
Betamethasone dipropionate,7,LS 180,5.0477095,1.7996796
Bisoprolol (hemifumarate),7,LS 180,6.105783,1.960909
Bosentan (hydrate),7,LS 180,3.893125,1.5878311
Canagliflozin,7,LS 180,2.0866802,1.1270962
Cilostazol,7,LS 180,9.691914,2.3694878
Clofarabine,7,LS 180,4.4062796,1.6875612
Cobimetinib,7,LS 180,2.3374095,1.205195
Cytarabine,7,LS 180,2.8161798,1.3392498
Cytarabine (hydrochloride),7,LS 180,3.7551367,1.5592254
Daidzin,7,LS 180,1.25596,0.8135756
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",7,LS 180,3.856293,1.5802754
Decitabine,7,LS 180,2.4359114,1.2342823
Dexmedetomidine,7,LS 180,0.94996,0.66780883
Dimethyl fumarate,7,LS 180,3.6158838,1.5295033
Dinaciclib,7,LS 180,20.252573,3.056478
Diphenhydramine,7,LS 180,13.790964,2.6940165
Docetaxel (Trihydrate),7,LS 180,2.3345172,1.204328
Dorzolamide (hydrochloride),7,LS 180,0.7860717,0.58001864
Doxorubicin (hydrochloride),7,LS 180,3.422771,1.4867665
Doxycycline (monohydrate),7,LS 180,5.5925937,1.8859469
Entecavir (monohydrate),7,LS 180,3.7396553,1.5559645
Epirubicin (hydrochloride),7,LS 180,3.3279557,1.4650953
Eplerenone,7,LS 180,3.8156455,1.5718701
Erlotinib,7,LS 180,10.718747,2.4611897
Fenofibrate,7,LS 180,10.819976,2.469791
Ferulic acid,7,LS 180,7.5725236,2.1485622
Finasteride,7,LS 180,6.3973703,2.0011246
Flumatinib (mesylate),7,LS 180,5.139269,1.8147056
Fluvoxamine,7,LS 180,8.122263,2.210718
Fumaric acid,7,LS 180,3.657969,1.5385795
Glycyrrhizic acid,7,LS 180,3.5766318,1.5209633
Harringtonine,7,LS 180,2.0772178,1.1240258
Hesperidin,7,LS 180,4.7694354,1.7525742
Hydroxyurea,7,LS 180,5.4555464,1.8649397
Imiquimod (maleate),7,LS 180,3.0077968,1.3882416
Irinotecan (hydrochloride),7,LS 180,4.341377,1.6754835
Levobupivacaine (hydrochloride),7,LS 180,3.3044312,1.459645
Ligustrazine,7,LS 180,4.277649,1.6634808
Lucanthone,7,LS 180,9.275654,2.3297775
Macitentan,7,LS 180,2.2993767,1.1937336
Mebendazole,7,LS 180,6.8440237,2.059752
Menadione,7,LS 180,3.3724155,1.4753156
Mifepristone,7,LS 180,3.3683548,1.4743865
Monocrotaline,7,LS 180,4.5596485,1.7155349
Mozavaptan,7,LS 180,3.537275,1.5123266
Naproxen,7,LS 180,2.198578,1.1627063
Nevirapine,7,LS 180,4.4899464,1.7029185
Niclosamide (olamine),7,LS 180,0.8392244,0.60934395
Orlistat,7,LS 180,5.1669064,1.8191973
Pemetrexed,7,LS 180,4.843339,1.7653024
Penfluridol,7,LS 180,1.6045669,0.95726645
Peretinoin,7,LS 180,0.883663,0.6332183
Pexidartinib (hydrochloride),7,LS 180,11.125928,2.495346
Phenytoin (sodium),7,LS 180,6.740682,2.0464897
Pitavastatin (Calcium),7,LS 180,6.930174,2.070675
Posaconazole,7,LS 180,5.01568,1.7943693
Pravastatin (sodium),7,LS 180,6.3430004,1.9937475
Procainamide (hydrochloride),7,LS 180,6.5684533,2.0239887
Quinidine (15% dihydroquinidine),7,LS 180,5.348036,1.8481455
Rifaximin,7,LS 180,2.046842,1.1141057
Rosiglitazone,7,LS 180,5.26728,1.8353424
Roxadustat,7,LS 180,2.5947058,1.2794621
Rucaparib (phosphate),7,LS 180,8.547333,2.2562618
Rutin (trihydrate),7,LS 180,10.70264,2.4598145
Sacubitril/Valsartan,7,LS 180,5.1723666,1.8200823
Sildenafil,7,LS 180,5.388244,1.8544594
Silodosin,7,LS 180,4.562315,1.7160144
Simotinib,7,LS 180,4.253691,1.6589309
Sivelestat (sodium tetrahydrate),7,LS 180,0.6412524,0.49545962
Sulfatinib,7,LS 180,5.802622,1.9173081
Tadalafil,7,LS 180,5.3990254,1.8561457
Tetracycline (hydrochloride),7,LS 180,3.6514318,1.537175
Thymopentin,7,LS 180,2.575132,1.2740021
Tirabrutinib,7,LS 180,12.515984,2.603873
Tolmetin,7,LS 180,3.2973049,1.457988
Topotecan (hydrochloride),7,LS 180,1.3315846,0.8465481
Trametinib (DMSO_TF solvate),7,LS 180,9.537746,2.3549638
Tranilast,7,LS 180,0.9247127,0.6547767
Verapamil,7,LS 180,6.860576,2.0618598
Verteporfin,7,LS 180,4.4935927,1.7035825
crizotinib,7,LS 180,4.618195,1.7260104
(S)-Crizotinib,7,LoVo,5.5128636,1.8737793
Adagrasib,7,LoVo,1.3828734,0.8683071
Afatinib,7,LoVo,1.8074253,1.0322678
Almonertinib (mesylate),7,LoVo,3.8720646,1.5835178
Altretamine,7,LoVo,4.0405755,1.6175202
Apalutamide,7,LoVo,0.62671125,0.48656034
Arbutin,7,LoVo,3.5935876,1.5246613
Belumosudil,7,LoVo,1.9413942,1.0788836
Bendamustine,7,LoVo,3.056022,1.4002026
Benproperine (phosphate),7,LoVo,3.4218674,1.4865621
Berbamine (dihydrochloride),7,LoVo,3.3129532,1.4616228
Bestatin,7,LoVo,2.2214484,1.169831
Betamethasone dipropionate,7,LoVo,3.2625256,1.4498619
Bisoprolol (hemifumarate),7,LoVo,2.5105,1.2557585
Bosentan (hydrate),7,LoVo,0.9841307,0.6851809
Canagliflozin,7,LoVo,1.0643061,0.72479415
Cilostazol,7,LoVo,4.4075913,1.6878037
Clofarabine,7,LoVo,0.86864245,0.6252122
Cobimetinib,7,LoVo,0.7394616,0.55357563
Cytarabine,7,LoVo,2.2728834,1.1856713
Cytarabine (hydrochloride),7,LoVo,2.3461177,1.2078007
Daidzin,7,LoVo,0.523706,0.42114553
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",7,LoVo,0.710062,0.53652966
Decitabine,7,LoVo,1.3687456,0.86236054
Dexmedetomidine,7,LoVo,2.6960866,1.3072746
Dimethyl fumarate,7,LoVo,1.6997044,0.99314225
Dinaciclib,7,LoVo,21.716837,3.1231065
Diphenhydramine,7,LoVo,8.887158,2.2912369
Docetaxel (Trihydrate),7,LoVo,3.203927,1.4360191
Dorzolamide (hydrochloride),7,LoVo,1.9346477,1.0765874
Doxorubicin (hydrochloride),7,LoVo,0.81885797,0.5982088
Doxycycline (monohydrate),7,LoVo,3.732306,1.5544126
Entecavir (monohydrate),7,LoVo,2.322228,1.2006357
Epirubicin (hydrochloride),7,LoVo,0.7975739,0.58643794
Eplerenone,7,LoVo,1.3882164,0.8705468
Erlotinib,7,LoVo,6.164008,1.9690696
Fenofibrate,7,LoVo,7.4329424,2.1321456
Ferulic acid,7,LoVo,3.375235,1.4759603
Finasteride,7,LoVo,2.3003814,1.194038
Flumatinib (mesylate),7,LoVo,3.5467968,1.514423
Fluvoxamine,7,LoVo,3.4272542,1.4877796
Fumaric acid,7,LoVo,2.8544998,1.3492413
Glycyrrhizic acid,7,LoVo,0.8249089,0.6015301
Harringtonine,7,LoVo,1.7160783,0.999189
Hesperidin,7,LoVo,2.597868,1.2803414
Hydroxyurea,7,LoVo,2.6697536,1.3001245
Imiquimod (maleate),7,LoVo,1.0812287,0.73295844
Irinotecan (hydrochloride),7,LoVo,1.9064125,1.0669196
Levobupivacaine (hydrochloride),7,LoVo,1.754087,1.013086
Ligustrazine,7,LoVo,3.0139215,1.3897687
Lucanthone,7,LoVo,5.3631315,1.8505206
Macitentan,7,LoVo,0.3612651,0.3084145
Mebendazole,7,LoVo,3.9179974,1.5929015
Menadione,7,LoVo,1.7601807,1.0152962
Mifepristone,7,LoVo,1.5250744,0.9262705
Monocrotaline,7,LoVo,2.7289178,1.3161181
Mozavaptan,7,LoVo,2.222317,1.1701007
Naproxen,7,LoVo,1.7762522,1.0211018
Nevirapine,7,LoVo,1.6447951,0.97259355
Niclosamide (olamine),7,LoVo,1.7022035,0.99406755
Orlistat,7,LoVo,2.3338754,1.2041354
Pemetrexed,7,LoVo,2.254184,1.1799415
Penfluridol,7,LoVo,1.92459,1.0731543
Peretinoin,7,LoVo,0.8289559,0.6037452
Pexidartinib (hydrochloride),7,LoVo,7.7298565,2.166749
Phenytoin (sodium),7,LoVo,2.5331907,1.2622013
Pitavastatin (Calcium),7,LoVo,3.8522391,1.5794402
Posaconazole,7,LoVo,2.09645,1.1302563
Pravastatin (sodium),7,LoVo,3.568258,1.5191319
Procainamide (hydrochloride),7,LoVo,3.3744092,1.4757714
Quinidine (15% dihydroquinidine),7,LoVo,1.1228501,0.7527596
Rifaximin,7,LoVo,1.1570891,0.76875967
Rosiglitazone,7,LoVo,3.2475178,1.4463347
Roxadustat,7,LoVo,0.8827684,0.63274324
Rucaparib (phosphate),7,LoVo,3.6485999,1.536566
Rutin (trihydrate),7,LoVo,7.9930186,2.1964486
Sacubitril/Valsartan,7,LoVo,0.99933696,0.6928156
Sildenafil,7,LoVo,2.621065,1.2867682
Silodosin,7,LoVo,2.8885534,1.3580372
Simotinib,7,LoVo,2.8239045,1.341272
Sivelestat (sodium tetrahydrate),7,LoVo,1.0935103,0.7388422
Sulfatinib,7,LoVo,3.1777894,1.4297823
Tadalafil,7,LoVo,4.3472357,1.6765797
Tetracycline (hydrochloride),7,LoVo,2.0570986,1.1174663
Thymopentin,7,LoVo,0.64840937,0.4998108
Tirabrutinib,7,LoVo,7.000548,2.07951
Tolmetin,7,LoVo,2.1182797,1.1372814
Topotecan (hydrochloride),7,LoVo,1.6314604,0.96753895
Trametinib (DMSO_TF solvate),7,LoVo,3.2113864,1.437792
Tranilast,7,LoVo,0.6258289,0.4860178
Verapamil,7,LoVo,3.5632093,1.5180261
Verteporfin,7,LoVo,5.399385,1.8562019
crizotinib,7,LoVo,1.1655592,0.7726786
(S)-Crizotinib,7,MIA PaCa-2,6.7460413,2.0471818
Adagrasib,7,MIA PaCa-2,4.6206603,1.7264491
Afatinib,7,MIA PaCa-2,0.58434236,0.4601694
Almonertinib (mesylate),7,MIA PaCa-2,3.838211,1.576545
Altretamine,7,MIA PaCa-2,2.9423862,1.3717861
Apalutamide,7,MIA PaCa-2,1.2648562,0.81751126
Arbutin,7,MIA PaCa-2,0.90140456,0.64259285
Belumosudil,7,MIA PaCa-2,2.2903981,1.1910086
Bendamustine,7,MIA PaCa-2,1.7003834,0.9933938
Benproperine (phosphate),7,MIA PaCa-2,5.2797465,1.8373296
Berbamine (dihydrochloride),7,MIA PaCa-2,1.2683804,0.8190661
Bestatin,7,MIA PaCa-2,1.6848117,0.9876106
Betamethasone dipropionate,7,MIA PaCa-2,1.2234052,0.7990399
Bisoprolol (hemifumarate),7,MIA PaCa-2,1.5667162,0.9426273
Bosentan (hydrate),7,MIA PaCa-2,2.5922158,1.2787693
Canagliflozin,7,MIA PaCa-2,1.7359204,1.0064679
Cilostazol,7,MIA PaCa-2,5.18322,1.8218391
Clofarabine,7,MIA PaCa-2,2.2835612,1.1889286
Cobimetinib,7,MIA PaCa-2,4.3101587,1.6696217
Cytarabine,7,MIA PaCa-2,0.7850401,0.5794409
Cytarabine (hydrochloride),7,MIA PaCa-2,3.29642,1.4577821
Daidzin,7,MIA PaCa-2,0.77372795,0.5730835
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",7,MIA PaCa-2,1.1416458,0.7615746
Decitabine,7,MIA PaCa-2,2.233317,1.1735085
Dexmedetomidine,7,MIA PaCa-2,1.9479662,1.0811155
Dimethyl fumarate,7,MIA PaCa-2,1.4443092,0.8937626
Dinaciclib,7,MIA PaCa-2,23.17366,3.1852636
Diphenhydramine,7,MIA PaCa-2,10.266588,2.4218416
Docetaxel (Trihydrate),7,MIA PaCa-2,1.9216895,1.072162
Dorzolamide (hydrochloride),7,MIA PaCa-2,2.9934494,1.3846554
Doxorubicin (hydrochloride),7,MIA PaCa-2,1.5302349,0.9283122
Doxycycline (monohydrate),7,MIA PaCa-2,3.9196737,1.5932422
Entecavir (monohydrate),7,MIA PaCa-2,0.80657905,0.591435
Epirubicin (hydrochloride),7,MIA PaCa-2,0.66628295,0.5105954
Eplerenone,7,MIA PaCa-2,2.4303317,1.232657
Erlotinib,7,MIA PaCa-2,8.218705,2.2212346
Fenofibrate,7,MIA PaCa-2,7.4427056,2.133303
Ferulic acid,7,MIA PaCa-2,3.9449842,1.5983738
Finasteride,7,MIA PaCa-2,4.7994375,1.757761
Flumatinib (mesylate),7,MIA PaCa-2,3.0702121,1.4036951
Fluvoxamine,7,MIA PaCa-2,6.4155188,2.0035748
Fumaric acid,7,MIA PaCa-2,1.1519942,0.766395
Glycyrrhizic acid,7,MIA PaCa-2,3.906299,1.5905199
Harringtonine,7,MIA PaCa-2,2.4007025,1.223982
Hesperidin,7,MIA PaCa-2,1.2661908,0.81810033
Hydroxyurea,7,MIA PaCa-2,2.1541636,1.1487234
Imiquimod (maleate),7,MIA PaCa-2,0.84092623,0.61026883
Irinotecan (hydrochloride),7,MIA PaCa-2,2.4631786,1.2421868
Levobupivacaine (hydrochloride),7,MIA PaCa-2,0.7672346,0.569416
Ligustrazine,7,MIA PaCa-2,2.0718453,1.1222785
Lucanthone,7,MIA PaCa-2,5.6085415,1.888363
Macitentan,7,MIA PaCa-2,0.6124455,0.47775197
Mebendazole,7,MIA PaCa-2,2.3564234,1.210876
Menadione,7,MIA PaCa-2,1.0553904,0.7204658
Mifepristone,7,MIA PaCa-2,1.5289925,0.92782104
Monocrotaline,7,MIA PaCa-2,1.2509121,0.8113355
Mozavaptan,7,MIA PaCa-2,0.4620674,0.37985146
