drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist,median_log1p_mag,moa
Rutin (trihydrate),2.940049560143453,2.44964640198307,143,1.8454913,unclear
S-Adenosyl-L-methionine (disulfate tosylate),1.7789481207852753,1.773139623724572,192,0.78339857,unclear
SBI-0640756,2.332409188204768,2.3298792737568874,95,1.5621775,Protein synthesis inhibitor
Sacubitril/Valsartan,2.564394513887989,2.501281090851758,143,1.4579328,unclear
Salicylic acid,2.124603619972798,2.078407648489581,190,1.5207468,Cyclooxygenase inhibitor
Sapanisertib,4.36401540041485,3.965340602589263,144,2.1027408,MTOR inhibitor
Saquinavir,2.5326391375262474,2.4597060421945502,190,1.5077326,unclear
Sildenafil,2.418253781265382,2.5490900009447293,142,1.6664798,unclear
Silodosin,1.2632318266723193,1.1053588027198,140,0.7859131,unclear
Simotinib,1.5471907636550706,1.4959282722248537,140,0.9012087,EGFR/ERBB inhibitor
Sinomenine,1.908249667347317,1.8979147098061102,192,1.2420375,unclear
Sivelestat (sodium tetrahydrate),2.9203733920604327,2.620473935561262,143,1.241564,unclear
Sodium Salicylate,2.4582780326822924,2.4043194757040274,192,1.5322793,Cyclooxygenase inhibitor
Sonidegib,3.076758123576707,3.413530769246564,139,1.8190434,Sonic inhibitor
Sulfatinib,1.870975977436139,1.8395775607399885,142,1.391058,Multi-TK inhibitor
Sulfisoxazole,2.1080116731930967,2.11519162073566,239,1.4983258,unclear
Sunitinib,2.6323937116350287,2.445362377696482,142,1.2257718,Multi-TK inhibitor
TAK-733,2.664135426134285,2.663307478065089,141,1.253533,MEK inhibitor
TAK-901,4.388937302233005,4.701795414994356,142,2.208142,unclear
Tadalafil,2.1632370186694523,2.4581388429161217,142,1.592489,unclear
Talc,1.7382688284901695,1.7862502634661177,142,0.8547446,unclear
Tazarotene,2.5088119901222,2.517589483054722,144,1.621179,Retinoic receptor agonist
Temsirolimus,2.388161110511302,2.2587587468838257,191,1.1800078,MTOR inhibitor
Temuterkib,3.4107309829862302,3.2879047176478045,143,1.7089866,Other MAPK inhibitor
Terfenadine,2.6377931469725056,2.3556657182166587,235,1.1094817,unclear
Tetracycline (hydrochloride),2.422504220558759,2.327795197606122,143,1.3125086,unclear
Thymol,2.2534665426864446,2.1829386780495454,190,1.2007192,unclear
Thymopentin,2.002013426613621,2.3502012130865255,141,1.1686741,unclear
Tirabrutinib,3.428885568709298,3.225076954783871,144,1.8702054,Other TK inhibitor
Tirabrutinib (hydrochloride),2.8234518336951817,2.709540204675422,144,1.3536379,Other TK inhibitor
Tofacitinib,2.5328038901210634,2.529822191482044,191,1.602613,JAK/STAT inhibitor
Tofacitinib (citrate),2.468496627402705,2.437309850257417,192,1.114604,JAK/STAT inhibitor
Tolcapone,1.9613383624739198,1.8101967993353698,192,1.1118441,unclear
Tolmetin,1.7549882753112802,1.846538898287983,143,1.1947867,Cyclooxygenase inhibitor
Tomivosertib,3.307994170656584,2.9540126044619432,144,1.7776884,Protein synthesis inhibitor
Topotecan (hydrochloride),2.820258008282608,2.9357986684129176,187,2.0730433,DNA synthesis/repair inhibitor
Torkinib,3.0266108566388046,2.962166438136957,139,1.4601294,MTOR inhibitor
Trametinib,2.9434501498314454,3.031062018273506,286,1.3746873,MEK inhibitor
Trametinib (DMSO_TF solvate),3.4316820526507916,3.237463613247377,143,1.5446334,MEK inhibitor
Tranilast,1.938064819466969,1.9680395331430298,143,1.3112738,unclear
Triamcinolone,2.399006675253526,2.355869301922515,192,1.3395367,Glucocorticoid receptor agonist
Triclosan,2.089716095061164,2.0296797001875,192,1.2689285,unclear
Trifluridine,1.779901186554342,1.824161025565477,192,1.4374483,DNA synthesis/repair inhibitor
Trimetrexate,2.355919566459068,2.345494516762201,192,1.5485303,DNA synthesis/repair inhibitor
